ANNOTATION FTB	POS FUSIONNÉ UNIQUE À CRÉER
ADJ##cpos=A|g=f|mwehead=ADJ+|n=s|s=qual|pred=y##	Adj:Fem+SG+Qual
ADJ##cpos=A|g=f|mwehead=ADV+|n=s|s=neg|pred=y##	Adj:Fem+SG+Neg
ADJ##cpos=A|g=f|mwehead=NC+|n=s|s=ord|pred=y##	Adj:Fem+SG+Ord
ADJ##cpos=A|g=f|mwehead=NC+|n=s|s=qual|pred=y##	Adj:Fem+SG+Qual
ADJ##cpos=A|g=f|mwehead=NPP+|n=s|s=qual|pred=y##	Adj:Fem+SG+Qual
ADJ##cpos=A|g=f|n=p|s=card##	Adj:Fem+PL+Card
ADJ##cpos=A|g=f|n=p|s=ind##	Adj:Fem+PL+Indef
ADJ##cpos=A|g=f|n=p|s=ind|pred=y##	Adj:Fem+PL+Indef
ADJ##cpos=A|g=f|n=p|s=ord##	Adj:Fem+PL+Ord
ADJ##cpos=A|g=f|n=p|s=ord|pred=y##	Adj:Fem+PL+Ord
ADJ##cpos=A|g=f|n=p|s=qual##	Adj:Fem+PL+Qual
ADJ##cpos=A|g=f|n=p|s=qual|pred=y##	Adj:Fem+PL+Qual
ADJ##cpos=A|g=f|n=s|s=card##	Adj:Fem+SG+Card
ADJ##cpos=A|g=f|n=s|s=ind##	Adj:Fem+SG+Indef
ADJ##cpos=A|g=f|n=s|s=ord##	Adj:Fem+SG+Ord
ADJ##cpos=A|g=f|n=s|s=ord|pred=y##	Adj:Fem+SG+Ord
ADJ##cpos=A|g=f|n=s|s=qual##	Adj:Fem+SG+Qual
ADJ##cpos=A|g=f|n=s|s=qual|pred=y##	Adj:Fem+SG+Qual
ADJ##cpos=A|g=m|mwehead=ADJ+|n=s|s=qual|pred=y##	Adj:Mas+SG+Qual
ADJ##cpos=A|g=m|mwehead=ADV+|n=s|s=qual|pred=y##	Adj:Mas+SG+Qual
ADJ##cpos=A|g=m|mwehead=NC+|n=p|s=qual|pred=y##	Adj:Mas+PL+Qual
ADJ##cpos=A|g=m|mwehead=NC+|n=s|s=ind|pred=y##	Adj:Mas+SG+Indef
ADJ##cpos=A|g=m|mwehead=NC+|n=s|s=ord|pred=y##	Adj:Mas+SG+Ord
ADJ##cpos=A|g=m|mwehead=NC+|n=s|s=qual|pred=y##	Adj:Mas+SG+Qual
ADJ##cpos=A|g=m|mwehead=NC+|s=qual|pred=y##	Adj:Mas+Qual
ADJ##cpos=A|g=m|mwehead=NPP+|n=s|s=qual|pred=y##	Adj:Mas+SG+Qual
ADJ##cpos=A|g=m|mwehead=V+|n=s|s=qual|pred=y##	Adj:Mas+SG+Qual
ADJ##cpos=A|g=m|n=p|s=card##	Adj:Mas+PL+Card
ADJ##cpos=A|g=m|n=p|s=ind##	Adj:Mas+PL+Indef
ADJ##cpos=A|g=m|n=p|s=ord##	Adj:Mas+PL+Ord
ADJ##cpos=A|g=m|n=p|s=qual##	Adj:Mas+PL+Qual
ADJ##cpos=A|g=m|n=p|s=qual|pred=y##	Adj:Mas+PL+Qual
ADJ##cpos=A|g=m|n=s|s=card##	Adj:Mas+SG+Card
ADJ##cpos=A|g=m|n=s|s=ind##	Adj:Mas+SG+Indef
ADJ##cpos=A|g=m|n=s|s=ind|pred=y##	Adj:Mas+SG+Indef
